AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,State_ID,ID,Base Year,Base,Projected Year,Projection,Change,Percent Change,Average Annual Openings,MajorGroupCode,MajorGroup,MinorGroup,MinorGroupDescr,JobDescription,RJ_1,RJ_2,RJ_3,RJ_4,RJ_5,RJ_6,RJ_7,RJ_8,RJ_9,RJ_10,RJ_11,RJ_12,RJ_13,RJ_14,RJ_15,RJ_16,RJ_17,RJ_18,RJ_19,RJ_20,RJ_21,RJ_22,RJ_23,RJ_24,RJ_25,RJ_26,RJ_27,RJ_28,RJ_29,RJ_30,RJ_31,RJ_32,RJ_33,RJ_34,RJ_35,RJ_36,RJ_37,RJ_38,RJ_39,RJ_40,RJ_41,RJ_42,RJ_43,RJ_44,RJ_45,RJ_46,RJ_47,RJ_48,RJ_49,RJ_50,RJ_51,RJ_52,RJ_53,RJDescr_1,RJDescr_2,RJDescr_3,RJDescr_4,RJDescr_5,RJDescr_6,RJDescr_7,RJDescr_8,RJDescr_9,RJDescr_10,RJDescr_11,RJDescr_12,RJDescr_13,RJDescr_14,RJDescr_15,RJDescr_16,RJDescr_17,RJDescr_18,RJDescr_19,RJDescr_20,RJDescr_21,RJDescr_22,RJDescr_23,RJDescr_24,RJDescr_25,RJDescr_26,RJDescr_27,RJDescr_28,RJDescr_29,RJDescr_30,RJDescr_31,RJDescr_32,RJDescr_33,RJDescr_34,RJDescr_35,RJDescr_36,RJDescr_37,RJDescr_38,RJDescr_39,RJDescr_40,RJDescr_41,RJDescr_42,RJDescr_43,RJDescr_44,RJDescr_45,RJDescr_46,RJDescr_47,RJDescr_48,RJDescr_49,RJDescr_50,RJDescr_51,RJDescr_52,RJDescr_53,MajorGroupIndex,Education,EducationIndex,Training,TrainingIndex,Experience,ExperienceIndex,STEM,STEMIndex
0,USA, United States,10-Nov,Advertising and Promotions Managers,broad,29340,2.6,,,54.62,113610,1.7,20.4,30.18,46.1,69.68,#,42440,62780,95890,144930,#,,,0,0-11-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-Nov,Advertising and Promotions Managers,detailed,29340,2.6,,,54.62,113610,1.7,20.4,30.18,46.1,69.68,#,42440,62780,95890,144930,#,,,0,0-11-2011,2014,31000,2024,32400,1500,4.7,1140,11-0000,Management ,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",21-Nov,Nov-31,13-1011,13-1121,13-1161,27-1011,27-2012,27-3031,27-3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marketing Managers,Public Relations and Fundraising Managers,"Agents and Business Managers of Artists, Performers, and Athletes","Meeting, Convention, and Event Planners",Market Research Analysts and Marketing Specialists,Art Directors,Producers and Directors,Public Relations Specialists,Writers and Authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,Less than 5 years,1,None,0,Non-STEM,1
0,USA, United States,20-Nov,Marketing and Sales Managers,broad,557640,0.6,,,64.4,133950,0.4,27.63,39.11,57.35,80.96,#,57480,81350,119280,168390,#,,,0,0-11-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,21-Nov,Marketing Managers,detailed,192890,1,,,67.63,140660,0.6,31.78,44,61.9,84.16,#,66090,91520,128750,175060,#,,,0,0-11-2021,2014,194300,2024,212500,18200,9.4,6420,11-0000,Management ,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",11-Nov,22-Nov,Nov-31,Nov-61,21-Nov,Nov-31,13-1111,13-1151,13-1161,27-3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advertising and Promotions Managers,Sales Managers,Public Relations and Fundraising Managers,Purchasing Managers,Human Resources Managers,Training and Development Managers,Management Analysts,Training and Development Specialists,Market Research Analysts and Marketing Specialists,Public Relations Specialists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,Non-STEM,1
0,USA, United States,22-Nov,Sales Managers,detailed,364750,0.6,,,62.69,130400,0.4,26.2,36.68,54.74,78.99,#,54490,76300,113860,164300,#,,,0,0-11-2022,2014,376300,2024,395300,19000,5.1,10800,11-0000,Management ,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",11-Nov,21-Nov,Nov-31,Nov-31,Nov-71,21-Nov,Nov-31,41-1012,41-4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advertising and Promotions Managers,Marketing Managers,Public Relations and Fundraising Managers,Financial Managers,"Transportation, Storage, and Distribution Managers",Human Resources Managers,Training and Development Managers,First-Line Supervisors of Non-Retail Sales Workers,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,Less than 5 years,1,None,0,Non-STEM,1
0,USA, United States,30-Nov,Public Relations and Fundraising Managers,broad,60380,1.2,,,57.4,119390,0.7,27.35,36.54,50.07,70.96,#,56890,76000,104140,147590,#,,,0,0-11-2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,Nov-31,Public Relations and Fundraising Managers,detailed,60380,1.2,,,57.4,119390,0.7,27.35,36.54,50.07,70.96,#,56890,76000,104140,147590,#,,,0,0-11-2031,2014,65800,2024,70500,4700,7.1,2710,11-0000,Management ,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",11-Nov,21-Nov,22-Nov,Nov-31,21-Nov,13-1011,13-1071,13-1121,27-3031,27-3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advertising and Promotions Managers,Marketing Managers,Sales Managers,Financial Managers,Human Resources Managers,"Agents and Business Managers of Artists, Performers, and Athletes",Human Resources Specialists,"Meeting, Convention, and Event Planners",Public Relations Specialists,Writers and Authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,Non-STEM,1
0,USA, United States,Nov-00,Operations Specialties Managers,minor,1663790,0.4,,,58.12,120900,0.2,28.18,37.86,52.05,71.33,#,58620,78740,108260,148370,#,,,0,0-11-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,10-Nov,Administrative Services Managers,broad,270080,0.8,,,45.6,94840,0.3,22.32,30.38,41.4,56.06,73.83,46430,63200,86110,116600,153570,,,0,0-11-3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-Nov,Administrative Services Managers,detailed,270080,0.8,,,45.6,94840,0.3,22.32,30.38,41.4,56.06,73.83,46430,63200,86110,116600,153570,,,0,0-11-3011,2014,287300,2024,310800,23500,8.2,7720,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",Nov-71,Nov-41,11-1021,13-1022,13-1031,13-1071,13-2072,43-1011,43-3061,43-6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaming Managers,"Property, Real Estate, and Community Association Managers",General and Operations Managers,"Wholesale and Retail Buyers, Except Farm Products","Claims Adjusters, Examiners, and Investigators",Human Resources Specialists,Loan Officers,First-Line Supervisors of Office and Administrative Support Workers,Procurement Clerks,Executive Secretaries and Executive Administrative Assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,Less than 5 years,1,None,0,Non-STEM,1
0,USA, United States,20-Nov,Computer and Information Systems Managers,broad,341250,1,,,67.79,141000,0.5,38.54,48.98,63.27,79.88,#,80160,101880,131600,166160,#,,,0,0-11-3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,21-Nov,Computer and Information Systems Managers,detailed,341250,1,,,67.79,141000,0.5,38.54,48.98,63.27,79.88,#,80160,101880,131600,166160,#,,,0,0-11-3021,2014,348500,2024,402200,53700,15.4,9480,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",Nov-71,13-1081,13-2099,15-1121,15-1122,15-1133,15-1143,15-1199,27-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Transportation, Storage, and Distribution Managers",Logisticians,"Financial Specialists, All Other",Computer Systems Analysts,Information Security Analysts,"Software Developers, Systems Software",Computer Network Architects,"Computer Occupations, All Other",Producers and Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,STEM,0
0,USA, United States,30-Nov,Financial Managers,broad,531120,0.6,,,64.58,134330,0.3,30.3,40.67,56.73,78.69,#,63020,84600,117990,163680,#,,,0,0-11-3030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,Nov-31,Financial Managers,detailed,531120,0.6,,,64.58,134330,0.3,30.3,40.67,56.73,78.69,#,63020,84600,117990,163680,#,,,0,0-11-3031,2014,555900,2024,593500,37700,6.8,16930,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",Nov-31,11-Nov,11-1011,13-1141,13-2011,13-2031,13-2051,13-2099,15-2011,41-3031,22-Nov,21-Nov,41-1012,13-2061,13-1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Relations and Fundraising Managers,Compensation and Benefits Managers,Chief Executives,"Compensation, Benefits, and Job Analysis Specialists",Accountants and Auditors,Budget Analysts,Financial Analysts,"Financial Specialists, All Other",Actuaries,"Securities, Commodities, and Financial Services Sales Agents",Sales Managers,Marketing Managers,First-Line Supervisors of Non-Retail Sales Workers,Financial Examiners,Human Resources Specialists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,STEM,0
0,USA, United States,Nov-50,Industrial Production Managers,broad,169390,0.7,,,49.87,103720,0.4,27.23,34.72,45.17,59.52,78,56640,72210,93940,123800,162240,,,0,0-11-3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,Nov-51,Industrial Production Managers,detailed,169390,0.7,,,49.87,103720,0.4,27.23,34.72,45.17,59.52,78,56640,72210,93940,123800,162240,,,0,0-11-3051,2014,173400,2024,167000,-6300,-3.7,4910,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Nov-71,Nov-51,11-1021,17-2112,17-3026,51-1011,51-8012,53-1021,53-1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Transportation, Storage, and Distribution Managers",Food Service Managers,General and Operations Managers,Industrial Engineers,Industrial Engineering Technicians,First-Line Supervisors of Production and Operating Workers,Power Distributors and Dispatchers,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,STEM,0
0,USA, United States,Nov-60,Purchasing Managers,broad,72600,0.9,,,54.87,114130,0.4,29.25,38.4,51.98,66.87,83.15,60830,79860,108120,139080,172950,,,0,0-11-3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,Nov-61,Purchasing Managers,detailed,72600,0.9,,,54.87,114130,0.4,29.25,38.4,51.98,66.87,83.15,60830,79860,108120,139080,172950,,,0,0-11-3061,2014,73000,2024,73700,700,1,1790,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",21-Nov,Nov-71,Nov-31,Nov-99,11-1021,13-1023,13-1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marketing Managers,"Transportation, Storage, and Distribution Managers",Training and Development Managers,"Managers, All Other",General and Operations Managers,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Logisticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,Non-STEM,1
0,USA, United States,Nov-70,"Transportation, Storage, and Distribution Managers",broad,109210,1.1,,,45.74,95130,0.5,24.44,31.76,41.65,55.02,72,50840,66060,86630,114440,149770,,,0,0-11-3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,Nov-71,"Transportation, Storage, and Distribution Managers",detailed,109210,1.1,,,45.74,95130,0.5,24.44,31.76,41.65,55.02,72,50840,66060,86630,114440,149770,,,0,0-11-3071,2014,111600,2024,114100,2500,2.2,2710,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",Nov-61,Nov-99,11-1021,13-1023,13-1081,19-3099,41-1012,53-1021,53-1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchasing Managers,"Managers, All Other",General and Operations Managers,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Logisticians,"Social Scientists and Related Workers, All Other",First-Line Supervisors of Non-Retail Sales Workers,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,High school diploma or equivalent,1,5 years or more,2,None,0,Non-STEM,1
0,USA, United States,10-Nov,Compensation and Benefits Managers,broad,15930,1.5,,,58.48,121630,0.6,29.17,39.52,53.57,72.4,#,60680,82210,111430,150600,#,,,0,0-11-3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-Nov,Compensation and Benefits Managers,detailed,15930,1.5,,,58.48,121630,0.6,29.17,39.52,53.57,72.4,#,60680,82210,111430,150600,#,,,0,0-11-3111,2014,16900,2024,18000,1100,6.5,600,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",21-Nov,13-1071,13-1141,13-1161,13-2011,13-2031,13-2051,13-2099,15-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Resources Managers,Human Resources Specialists,"Compensation, Benefits, and Job Analysis Specialists",Market Research Analysts and Marketing Specialists,Accountants and Auditors,Budget Analysts,Financial Analysts,"Financial Specialists, All Other",Actuaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,Non-STEM,1
0,USA, United States,20-Nov,Human Resources Managers,broad,122780,0.6,,,56.29,117080,0.4,29.47,38.09,50.21,68.2,#,61300,79230,104440,141860,#,,,0,0-11-3120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,21-Nov,Human Resources Managers,detailed,122780,0.6,,,56.29,117080,0.4,29.47,38.09,50.21,68.2,#,61300,79230,104440,141860,#,,,0,0-11-3121,2014,122500,2024,133300,10800,8.8,4660,11-0000,Management ,Nov-00,Operations Specialties Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",21-Nov,22-Nov,Nov-31,Nov-61,11-Nov,Nov-31,Nov-33,Nov-51,13-1071,13-1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marketing Managers,Sales Managers,Public Relations and Fundraising Managers,Purchasing Managers,Compensation and Benefits Managers,Training and Development Managers,"Education Administrators, Postsecondary",Social and Community Service Managers,Human Resources Specialists,Training and Development Specialists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,Non-STEM,1
